Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,008_12months_DTI_antsBM,010_10months_DTI_antsBM,010_14months_DTI_antsBM,012_10months_DTI_antsBM,012_14months_DTI_antsBM,013_13months_DTI_antsBM,014_13months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,020_14months_DTI_antsBM,021_11months_DTI_antsBM,021_14months_DTI_antsBM,022_11months_DTI_antsBM,022_14months_DTI_antsBM,023_11months_DTI_antsBM,023_14months_DTI_antsBM,025_10months_DTI_antsBM,025_13months_DTI_antsBM,026_11months_DTI_antsBM,027_11months_DTI_antsBM,028_10months_DTI_antsBM,028_13months_DTI_antsBM,029_12months_DTI_antsBM,030_12months_DTI_antsBM,031_10months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_10months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM,035_12months_DTI_antsBM,036_12months_DTI_antsBM
4.02109,0.325753,0.357085,0.307969,0.37912,0.308891,0.348371,0.280706,0.323487,0.258779,0.285169,0.26167,0.314907,0.329378,0.378381,0.371626,0.333236,0.295978,0.296237,0.30862,0.30963,0.255871,0.258766,0.241098,0.278516,0.30419,0.275554,0.260082,0.279444,0.300136,0.30636,0.274687,0.27487,0.314533,0.245314,0.296997,0.26314,0.29938,0.285314
4.52109,0.310596,0.356145,0.284994,0.366921,0.296341,0.337602,0.27139,0.302512,0.23441,0.267109,0.255386,0.292135,0.316778,0.354883,0.350363,0.309611,0.280431,0.264485,0.287335,0.283924,0.243413,0.248707,0.231061,0.263588,0.290745,0.267287,0.246235,0.265549,0.285464,0.290934,0.250174,0.252931,0.296996,0.23838,0.286081,0.251098,0.286603,0.278194
5.02109,0.308825,0.365906,0.280324,0.364174,0.299204,0.34187,0.277114,0.297286,0.223935,0.266121,0.264807,0.283485,0.318285,0.347031,0.344596,0.302269,0.27086,0.242342,0.278259,0.271844,0.243421,0.251041,0.231995,0.257925,0.288312,0.274201,0.245138,0.266227,0.284019,0.282889,0.232749,0.243318,0.292706,0.242617,0.288937,0.255442,0.278433,0.284979
5.52109,0.324548,0.384638,0.297948,0.372666,0.31771,0.359369,0.294972,0.308919,0.235537,0.283328,0.289526,0.29197,0.333049,0.353719,0.354733,0.317234,0.266859,0.232787,0.2902,0.279672,0.258339,0.268855,0.244726,0.263657,0.298513,0.296732,0.258858,0.28184,0.296688,0.284025,0.228615,0.25097,0.304047,0.260816,0.307575,0.276494,0.28009,0.304835
6.02109,0.351351,0.403714,0.33095,0.387728,0.345389,0.383571,0.318311,0.329029,0.264107,0.307269,0.319757,0.31042,0.353154,0.367395,0.372925,0.346762,0.267721,0.234346,0.316986,0.303181,0.282663,0.296979,0.265662,0.278431,0.317344,0.326221,0.281085,0.30443,0.316525,0.291219,0.23791,0.273115,0.326172,0.286035,0.338455,0.305561,0.289523,0.330832
6.52109,0.378667,0.415083,0.363894,0.401259,0.370558,0.404749,0.338644,0.348348,0.293732,0.324414,0.345064,0.32743,0.368701,0.379439,0.389718,0.374164,0.271415,0.24231,0.342637,0.330612,0.30635,0.326301,0.2879,0.296035,0.336037,0.349637,0.300994,0.323412,0.332854,0.299099,0.253544,0.299713,0.348902,0.308082,0.370123,0.33058,0.299825,0.354438
7.02109,0.395655,0.414907,0.381887,0.405887,0.382053,0.414314,0.348591,0.359376,0.310081,0.326636,0.358226,0.33437,0.371254,0.383592,0.396566,0.384552,0.27354,0.250185,0.353636,0.348482,0.318769,0.344668,0.302425,0.308693,0.345812,0.357627,0.31004,0.33042,0.337648,0.302016,0.264865,0.318612,0.361983,0.31777,0.387296,0.34193,0.303883,0.368449
7.52109,0.394566,0.403002,0.37842,0.397899,0.37517,0.407258,0.344671,0.357057,0.312185,0.315366,0.356702,0.328542,0.357276,0.37637,0.388316,0.374174,0.271285,0.252414,0.345903,0.349307,0.314414,0.344692,0.302518,0.310915,0.342262,0.347285,0.306799,0.325713,0.329563,0.297135,0.265846,0.321557,0.360226,0.311827,0.382206,0.337308,0.298662,0.367855
8.02109,0.37322,0.381257,0.357173,0.376674,0.352301,0.383877,0.328155,0.34047,0.305101,0.296398,0.340597,0.312288,0.330532,0.356826,0.362219,0.348056,0.262021,0.24682,0.324401,0.333525,0.295657,0.327605,0.287481,0.300952,0.32506,0.322394,0.295772,0.313047,0.309918,0.283444,0.256564,0.306632,0.343668,0.294162,0.356334,0.320383,0.284105,0.351094
8.52109,0.335866,0.350994,0.325596,0.344413,0.319183,0.349009,0.30343,0.312741,0.291441,0.273205,0.310539,0.288796,0.299368,0.327137,0.320534,0.314034,0.245587,0.233409,0.296641,0.306228,0.26887,0.299456,0.261854,0.280887,0.297002,0.286762,0.280044,0.29413,0.281111,0.261626,0.240627,0.276633,0.314958,0.270048,0.315941,0.29367,0.262046,0.318793
9.02109,0.291367,0.311868,0.290326,0.304672,0.280793,0.308368,0.275325,0.279831,0.269691,0.247924,0.273336,0.260662,0.269548,0.291209,0.271285,0.276905,0.223296,0.21357,0.268532,0.272904,0.23927,0.268736,0.23253,0.254162,0.262755,0.246812,0.259068,0.269902,0.245659,0.234753,0.220032,0.235905,0.278554,0.243161,0.268284,0.257865,0.234774,0.274941
9.52109,0.249261,0.266187,0.255397,0.260866,0.24113,0.267045,0.245117,0.246095,0.238531,0.221413,0.235687,0.231257,0.241228,0.254313,0.225125,0.237787,0.197547,0.189343,0.239581,0.237655,0.210039,0.239663,0.204127,0.223074,0.226675,0.208325,0.231135,0.239402,0.205731,0.207118,0.194592,0.190849,0.239471,0.214969,0.219739,0.218249,0.204332,0.228482
10.0211,0.215069,0.221748,0.222434,0.216394,0.205021,0.229045,0.211872,0.212885,0.20003,0.196116,0.200879,0.204365,0.214332,0.22192,0.189145,0.199505,0.172334,0.163928,0.206692,0.202909,0.182997,0.212379,0.178413,0.190307,0.193091,0.174727,0.197932,0.205507,0.165477,0.181079,0.164797,0.150434,0.203917,0.187268,0.178174,0.181817,0.172958,0.189323
10.5211,0.18887,0.188377,0.195178,0.176643,0.178142,0.199402,0.180797,0.184647,0.164585,0.176578,0.174545,0.183851,0.190415,0.197475,0.163231,0.167777,0.152862,0.142558,0.176564,0.173845,0.160386,0.189449,0.157589,0.16116,0.167508,0.151476,0.168328,0.176987,0.132989,0.159272,0.135205,0.120763,0.177098,0.164536,0.150884,0.155656,0.144526,0.162443
11.0211,0.168726,0.168269,0.173949,0.14512,0.160405,0.178599,0.154431,0.161599,0.138356,0.162999,0.15533,0.169743,0.171011,0.180394,0.144133,0.143188,0.140443,0.127116,0.150948,0.151954,0.142963,0.171216,0.141696,0.138094,0.149627,0.136477,0.14714,0.156675,0.110812,0.142357,0.110991,0.101876,0.158241,0.148108,0.136169,0.140347,0.121755,0.145569
11.5211,0.152594,0.159311,0.157783,0.120938,0.149551,0.165303,0.133167,0.143603,0.12098,0.153658,0.14074,0.160774,0.157936,0.169239,0.129144,0.12528,0.133704,0.116714,0.1309,0.135671,0.13057,0.158095,0.129875,0.121214,0.1376,0.126181,0.133354,0.143029,0.0970549,0.128585,0.0921147,0.091285,0.145411,0.137865,0.129784,0.131329,0.10331,0.135137
12.0211,0.136404,0.158071,0.14423,0.100222,0.143197,0.15868,0.116895,0.132333,0.113166,0.147163,0.13608,0.153938,0.148511,0.15952,0.113136,0.112189,0.132413,0.110314,0.12036,0.124311,0.120439,0.14973,0.12043,0.107781,0.131119,0.122204,0.126273,0.135161,0.0919666,0.116894,0.0778492,0.0825937,0.135458,0.132204,0.127583,0.124758,0.0885588,0.123251
