Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,008_12months_DTI_antsBM,010_10months_DTI_antsBM,012_10months_DTI_antsBM,013_13months_DTI_antsBM,014_13months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,021_11months_DTI_antsBM,022_11months_DTI_antsBM,023_11months_DTI_antsBM,025_10months_DTI_antsBM,026_11months_DTI_antsBM,027_11months_DTI_antsBM,028_13months_DTI_antsBM,029_12months_DTI_antsBM,030_12months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM,035_12months_DTI_antsBM,036_12months_DTI_antsBM,Atlas
12.1889,0.160383,0.178844,0.173662,0.202742,0.198649,0.168062,0.183924,0.157446,0.187034,0.174357,0.151389,0.178195,0.166134,0.163185,0.164462,0.164295,0.14057,0.155123,0.173757,0.146765,0.174188,0.208882,0.172052,0.149096,0.155893,0.1456,0.1616,0.221593,0.173135
12.6889,0.15488,0.170573,0.173786,0.201012,0.194769,0.159381,0.180337,0.150695,0.18234,0.173123,0.152478,0.174485,0.163648,0.160836,0.158565,0.159134,0.136557,0.154164,0.169884,0.15002,0.169664,0.201208,0.168069,0.148359,0.152341,0.145436,0.157813,0.227564,0.16956
13.1889,0.151105,0.164395,0.175348,0.200775,0.192778,0.15424,0.176211,0.143257,0.177094,0.171819,0.152045,0.172929,0.160064,0.15936,0.151434,0.155689,0.134979,0.153525,0.166615,0.150812,0.166278,0.195439,0.164133,0.148349,0.147072,0.146885,0.153017,0.230551,0.166282
13.6889,0.147916,0.161859,0.176301,0.199866,0.188956,0.150741,0.172955,0.137453,0.171142,0.170973,0.149828,0.171909,0.155572,0.160896,0.144741,0.153706,0.134986,0.152292,0.164884,0.149438,0.165511,0.193773,0.160603,0.149281,0.142522,0.149759,0.147527,0.227449,0.162559
14.1889,0.143826,0.161602,0.176297,0.196288,0.180693,0.146554,0.171562,0.135716,0.162482,0.172252,0.145511,0.169925,0.150551,0.165526,0.140295,0.152952,0.134737,0.1498,0.161524,0.147884,0.165646,0.198619,0.156849,0.151159,0.140801,0.15125,0.14199,0.218284,0.15768
14.6889,0.140066,0.162257,0.176444,0.189129,0.170555,0.141361,0.171567,0.137585,0.151802,0.175244,0.141484,0.167427,0.147325,0.170953,0.139475,0.154034,0.134538,0.145904,0.155479,0.147564,0.164722,0.203209,0.151446,0.152979,0.143132,0.148301,0.138747,0.201761,0.15102
15.1889,0.137682,0.16212,0.176306,0.178587,0.162819,0.136232,0.170601,0.141809,0.142568,0.178909,0.140642,0.165024,0.145984,0.17261,0.141394,0.155503,0.133997,0.140268,0.148861,0.147619,0.160993,0.203008,0.146783,0.153884,0.146921,0.140818,0.137586,0.185011,0.144359
15.6889,0.136321,0.160885,0.174709,0.168097,0.160276,0.133392,0.166525,0.145248,0.137299,0.181194,0.141266,0.163961,0.146207,0.169857,0.14152,0.156481,0.133786,0.133892,0.144299,0.146141,0.154891,0.196917,0.143907,0.152843,0.149404,0.13331,0.136723,0.172926,0.138274
16.1889,0.137627,0.159479,0.171558,0.157121,0.160782,0.133211,0.159429,0.146318,0.135295,0.179775,0.143573,0.163754,0.148187,0.164965,0.13913,0.157856,0.136168,0.126569,0.140857,0.140415,0.146192,0.180089,0.141621,0.149751,0.150228,0.128493,0.13682,0.157017,0.131481
16.6889,0.142251,0.157167,0.16757,0.148215,0.159766,0.135176,0.150996,0.145433,0.135692,0.177031,0.145917,0.164608,0.151326,0.160502,0.135028,0.159595,0.139711,0.119122,0.139635,0.128716,0.136442,0.164258,0.142555,0.144918,0.147762,0.127238,0.135943,0.145658,0.125519
